fare,urlscraped,origcity,datescraped,destlocation,timescraped,origtime,destcity,origlocation,duration,desttime
$10.00,http://us.megabus.com/JourneyResults.aspx?originCode=103&destinationCode=95&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Cleveland, OH",2014-06-03,Downtown Terminal,21:24:56.012000,4:45 AM,"Buffalo, NY","Stephanie Tubbs Jones Transit Center,      2115 East 22nd Street",4hrs 0mins,8:45 AM
$5.00,http://us.megabus.com/JourneyResults.aspx?originCode=103&destinationCode=95&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Cleveland, OH",2014-06-03,Downtown Terminal,21:24:56.013000,4:45 PM,"Buffalo, NY","Stephanie Tubbs Jones Transit Center,      2115 East 22nd Street",4hrs 0mins,8:45 PM
$38.00,http://us.megabus.com/JourneyResults.aspx?originCode=103&destinationCode=137&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Cleveland, OH",2014-06-03,SW Corner of Walmart Parking Lot - 1665 N Atherton St.,21:25:03.154000,8:00 AM,"State College, PA","Stephanie Tubbs Jones Transit Center,      2115 East 22nd Street",4hrs 40mins,12:40 PM
$10.00,http://us.megabus.com/JourneyResults.aspx?originCode=103&destinationCode=140&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Cleveland, OH",2014-06-03,University of Toledo - Parking Lot 23 W Scott Park Drive,21:25:10.045000,1:00 AM,"Toledo, OH","Stephanie Tubbs Jones Transit Center,      2115 East 22nd Street",2hrs 0mins,3:00 AM
$10.00,http://us.megabus.com/JourneyResults.aspx?originCode=103&destinationCode=140&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Cleveland, OH",2014-06-03,University of Toledo - Parking Lot 23 W Scott Park Drive,21:25:10.046000,7:00 AM,"Toledo, OH","Stephanie Tubbs Jones Transit Center,      2115 East 22nd Street",2hrs 5mins,9:05 AM
$10.00,http://us.megabus.com/JourneyResults.aspx?originCode=103&destinationCode=140&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Cleveland, OH",2014-06-03,University of Toledo - Parking Lot 23 W Scott Park Drive,21:25:10.047000,6:15 PM,"Toledo, OH","Stephanie Tubbs Jones Transit Center,      2115 East 22nd Street",2hrs 5mins,8:20 PM
$99.00,http://us.megabus.com/JourneyResults.aspx?originCode=103&destinationCode=290&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Cleveland, OH",2014-06-03,Eastgate Complex - 5600 Brainerd Rd.,21:25:14.380000,2:30 AM,"Chattanooga, TN","Stephanie Tubbs Jones Transit Center,      2115 East 22nd Street",13hrs 15mins,3:45 PM
$127.00,http://us.megabus.com/JourneyResults.aspx?originCode=103&destinationCode=290&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Cleveland, OH",2014-06-03,Eastgate Complex - 5600 Brainerd Rd.,21:25:14.381000,2:30 PM,"Chattanooga, TN","Stephanie Tubbs Jones Transit Center,      2115 East 22nd Street",13hrs 15mins,3:45 AM
$36.00,http://us.megabus.com/JourneyResults.aspx?originCode=103&destinationCode=100&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Cleveland, OH",2014-06-03,Union Station S Canal St south of Jackson Blvd.,21:25:20.559000,1:00 AM,"Chicago, IL","Stephanie Tubbs Jones Transit Center,      2115 East 22nd Street",6hrs 15mins,6:15 AM
$35.00,http://us.megabus.com/JourneyResults.aspx?originCode=103&destinationCode=100&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Cleveland, OH",2014-06-03,Union Station S Canal St south of Jackson Blvd.,21:25:20.560000,7:00 AM,"Chicago, IL","Stephanie Tubbs Jones Transit Center,      2115 East 22nd Street",6hrs 35mins,12:35 PM
$36.00,http://us.megabus.com/JourneyResults.aspx?originCode=103&destinationCode=100&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Cleveland, OH",2014-06-03,Union Station S Canal St south of Jackson Blvd.,21:25:20.561000,6:15 PM,"Chicago, IL","Stephanie Tubbs Jones Transit Center,      2115 East 22nd Street",6hrs 35mins,11:50 PM
$6.00,http://us.megabus.com/JourneyResults.aspx?originCode=103&destinationCode=105&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Cleveland, OH",2014-06-03,SE corner of Spring St and 4th St,21:25:32.472000,2:30 AM,"Columbus, OH","Stephanie Tubbs Jones Transit Center,      2115 East 22nd Street",3hrs 0mins,5:30 AM
$6.00,http://us.megabus.com/JourneyResults.aspx?originCode=103&destinationCode=105&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Cleveland, OH",2014-06-03,SE corner of Spring St and 4th St,21:25:32.473000,2:30 PM,"Columbus, OH","Stephanie Tubbs Jones Transit Center,      2115 East 22nd Street",3hrs 0mins,5:30 PM
$8.00,http://us.megabus.com/JourneyResults.aspx?originCode=103&destinationCode=108&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Cleveland, OH",2014-06-03,PSU Erie - Erie Lot (on College Dr next to tennis courts),21:25:38.155000,4:45 AM,"Erie, PA","Stephanie Tubbs Jones Transit Center,      2115 East 22nd Street",2hrs 0mins,6:45 AM
$7.00,http://us.megabus.com/JourneyResults.aspx?originCode=103&destinationCode=108&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Cleveland, OH",2014-06-03,PSU Erie - Erie Lot (on College Dr next to tennis courts),21:25:38.156000,4:45 PM,"Erie, PA","Stephanie Tubbs Jones Transit Center,      2115 East 22nd Street",2hrs 0mins,6:45 PM
$69.00,http://us.megabus.com/JourneyResults.aspx?originCode=103&destinationCode=118&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Cleveland, OH",2014-06-03,Knoxville Transit Center,21:25:49.019000,2:30 AM,"Knoxville, TN","Stephanie Tubbs Jones Transit Center,      2115 East 22nd Street",11hrs 25mins,1:55 PM
$79.00,http://us.megabus.com/JourneyResults.aspx?originCode=103&destinationCode=118&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Cleveland, OH",2014-06-03,Knoxville Transit Center,21:25:49.021000,2:30 PM,"Knoxville, TN","Stephanie Tubbs Jones Transit Center,      2115 East 22nd Street",11hrs 25mins,1:55 AM
$59.00,http://us.megabus.com/JourneyResults.aspx?originCode=103&destinationCode=408&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Cleveland, OH",2014-06-03,Lextran Transit Ctr - High Street side  185 East High Street,21:25:56.001000,2:30 AM,"Lexington, KY","Stephanie Tubbs Jones Transit Center,      2115 East 22nd Street",7hrs 55mins,10:25 AM
$79.00,http://us.megabus.com/JourneyResults.aspx?originCode=103&destinationCode=408&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Cleveland, OH",2014-06-03,Lextran Transit Ctr - High Street side  185 East High Street,21:25:56.003000,2:30 PM,"Lexington, KY","Stephanie Tubbs Jones Transit Center,      2115 East 22nd Street",7hrs 55mins,10:25 PM
$42.00,http://us.megabus.com/JourneyResults.aspx?originCode=104&destinationCode=100&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Columbia, MO",2014-06-03,Union Station S Canal St south of Jackson Blvd.,21:26:01.726000,2:00 PM,"Chicago, IL",Wabash Station,7hrs 40mins,9:40 PM
$29.00,http://us.megabus.com/JourneyResults.aspx?originCode=104&destinationCode=117&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Columbia, MO",2014-06-03,3rd & Grand MetroCenter,21:26:07.119000,4:40 PM,"Kansas City, MO",Wabash Station,2hrs 50mins,7:30 PM
$23.00,http://us.megabus.com/JourneyResults.aspx?originCode=104&destinationCode=136&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Columbia, MO",2014-06-03,West of Union Station - East Side of 21st St near Clark Ave,21:26:13.026000,2:00 PM,"St Louis, MO",Wabash Station,2hrs 10mins,4:10 PM
$1.00,http://us.megabus.com/JourneyResults.aspx?originCode=454&destinationCode=302&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Columbia, SC",2014-06-03,Athens Multi-Modal Trans. Ctr - 775 East Broad St,21:26:18.872000,3:00 AM,"Athens, GA",Sumter Street Transit Station,3hrs 10mins,6:10 AM
$1.00,http://us.megabus.com/JourneyResults.aspx?originCode=454&destinationCode=302&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Columbia, SC",2014-06-03,Athens Multi-Modal Trans. Ctr - 775 East Broad St,21:26:18.874000,12:30 PM,"Athens, GA",Sumter Street Transit Station,3hrs 0mins,3:30 PM
$1.00,http://us.megabus.com/JourneyResults.aspx?originCode=454&destinationCode=289&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Columbia, SC",2014-06-03,MARTA Civic Center - 435 W Peachtree St NW,21:26:25.835000,3:00 AM,"Atlanta, GA",Sumter Street Transit Station,5hrs 0mins,8:00 AM
$1.00,http://us.megabus.com/JourneyResults.aspx?originCode=454&destinationCode=289&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Columbia, SC",2014-06-03,MARTA Civic Center - 435 W Peachtree St NW,21:26:25.836000,12:30 PM,"Atlanta, GA",Sumter Street Transit Station,4hrs 50mins,5:20 PM
$1.00,http://us.megabus.com/JourneyResults.aspx?originCode=454&destinationCode=289&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Columbia, SC",2014-06-03,MARTA Civic Center - 435 W Peachtree St NW,21:26:25.838000,10:30 PM,"Atlanta, GA",Sumter Street Transit Station,3hrs 45mins,2:15 AM
$1.00,http://us.megabus.com/JourneyResults.aspx?originCode=454&destinationCode=131&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Columbia, SC",2014-06-03,Willard St. outside of Durham Station Transportation Center,21:26:31.970000,12:45 AM,"Durham, NC",Sumter Street Transit Station,4hrs 45mins,5:30 AM
$1.00,http://us.megabus.com/JourneyResults.aspx?originCode=454&destinationCode=131&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Columbia, SC",2014-06-03,Willard St. outside of Durham Station Transportation Center,21:26:31.971000,11:15 AM,"Durham, NC",Sumter Street Transit Station,4hrs 55mins,4:10 PM
$1.00,http://us.megabus.com/JourneyResults.aspx?originCode=454&destinationCode=131&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Columbia, SC",2014-06-03,Willard St. outside of Durham Station Transportation Center,21:26:31.972000,4:00 PM,"Durham, NC",Sumter Street Transit Station,5hrs 0mins,9:00 PM
$1.00,http://us.megabus.com/JourneyResults.aspx?originCode=454&destinationCode=455&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Columbia, SC",2014-06-03,Fayetteville Transit Center,21:26:39.186000,12:45 AM,"Fayetteville, NC",Sumter Street Transit Station,3hrs 15mins,4:00 AM
$1.00,http://us.megabus.com/JourneyResults.aspx?originCode=454&destinationCode=455&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Columbia, SC",2014-06-03,Fayetteville Transit Center,21:26:39.188000,11:15 AM,"Fayetteville, NC",Sumter Street Transit Station,3hrs 20mins,2:35 PM
$1.00,http://us.megabus.com/JourneyResults.aspx?originCode=454&destinationCode=455&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Columbia, SC",2014-06-03,Fayetteville Transit Center,21:26:39.189000,4:00 PM,"Fayetteville, NC",Sumter Street Transit Station,3hrs 30mins,7:30 PM
$20.00,http://us.megabus.com/JourneyResults.aspx?originCode=105&destinationCode=289&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Columbus, OH",2014-06-03,MARTA Civic Center - 435 W Peachtree St NW,21:26:45.523000,5:30 AM,"Atlanta, GA",SE corner of Spring St and 4th St,12hrs 35mins,6:05 PM
$20.00,http://us.megabus.com/JourneyResults.aspx?originCode=105&destinationCode=289&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Columbus, OH",2014-06-03,MARTA Civic Center - 435 W Peachtree St NW,21:26:45.524000,5:30 PM,"Atlanta, GA",SE corner of Spring St and 4th St,12hrs 35mins,6:05 AM
$25.00,http://us.megabus.com/JourneyResults.aspx?originCode=105&destinationCode=95&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Columbus, OH",2014-06-03,Downtown Terminal,21:26:50.772000,1:45 AM,"Buffalo, NY",SE corner of Spring St and 4th St,7hrs 0mins,8:45 AM
$25.00,http://us.megabus.com/JourneyResults.aspx?originCode=105&destinationCode=95&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Columbus, OH",2014-06-03,Downtown Terminal,21:26:50.773000,1:45 PM,"Buffalo, NY",SE corner of Spring St and 4th St,7hrs 0mins,8:45 PM
$39.00,http://us.megabus.com/JourneyResults.aspx?originCode=105&destinationCode=290&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Columbus, OH",2014-06-03,Eastgate Complex - 5600 Brainerd Rd.,21:26:55.761000,5:30 AM,"Chattanooga, TN",SE corner of Spring St and 4th St,10hrs 15mins,3:45 PM
$59.00,http://us.megabus.com/JourneyResults.aspx?originCode=105&destinationCode=290&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Columbus, OH",2014-06-03,Eastgate Complex - 5600 Brainerd Rd.,21:26:55.762000,5:30 PM,"Chattanooga, TN",SE corner of Spring St and 4th St,10hrs 15mins,3:45 AM
$38.00,http://us.megabus.com/JourneyResults.aspx?originCode=105&destinationCode=100&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Columbus, OH",2014-06-03,Union Station S Canal St south of Jackson Blvd.,21:27:03.024000,10:40 AM,"Chicago, IL",SE corner of Spring St and 4th St,6hrs 50mins,4:30 PM
$8.00,http://us.megabus.com/JourneyResults.aspx?originCode=105&destinationCode=102&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Columbus, OH",2014-06-03,1213 W Central Parkway,21:27:09.760000,5:30 AM,"Cincinnati, OH",SE corner of Spring St and 4th St,2hrs 15mins,7:45 AM
$9.00,http://us.megabus.com/JourneyResults.aspx?originCode=105&destinationCode=102&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Columbus, OH",2014-06-03,1213 W Central Parkway,21:27:09.761000,5:30 PM,"Cincinnati, OH",SE corner of Spring St and 4th St,2hrs 15mins,7:45 PM
$6.00,http://us.megabus.com/JourneyResults.aspx?originCode=105&destinationCode=103&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Columbus, OH",2014-06-03,"Stephanie Tubbs Jones Transit Center,      2115 East 22nd Street",21:27:17.249000,1:45 AM,"Cleveland, OH",SE corner of Spring St and 4th St,3hrs 0mins,4:45 AM
$6.00,http://us.megabus.com/JourneyResults.aspx?originCode=105&destinationCode=103&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Columbus, OH",2014-06-03,"Stephanie Tubbs Jones Transit Center,      2115 East 22nd Street",21:27:17.250000,1:45 PM,"Cleveland, OH",SE corner of Spring St and 4th St,3hrs 0mins,4:45 PM
$25.00,http://us.megabus.com/JourneyResults.aspx?originCode=105&destinationCode=108&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Columbus, OH",2014-06-03,PSU Erie - Erie Lot (on College Dr next to tennis courts),21:27:23.536000,1:45 AM,"Erie, PA",SE corner of Spring St and 4th St,5hrs 0mins,6:45 AM
$25.00,http://us.megabus.com/JourneyResults.aspx?originCode=105&destinationCode=108&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Columbus, OH",2014-06-03,PSU Erie - Erie Lot (on College Dr next to tennis courts),21:27:23.537000,1:45 PM,"Erie, PA",SE corner of Spring St and 4th St,5hrs 0mins,6:45 PM
$10.00,http://us.megabus.com/JourneyResults.aspx?originCode=105&destinationCode=115&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Columbus, OH",2014-06-03,200 E Washington St.,21:27:31.004000,10:40 AM,"Indianapolis, IN",SE corner of Spring St and 4th St,3hrs 25mins,2:05 PM
